xp_id;country;latitude;longitude;elevation;tarping_date;planned_duration;goals;restoration;operation_type;multiple_ops;freq_monitoring;slope;difficulty_access;shade;forest;ruggedness;granulometry;obstacles;flood;environment;fabric_type;liner_geomem;agri_geomem;woven_geotex;mulching_geotex;pla_geotex;weedsp_geotex;other_unknown;grammage;thickness;resi_punc;resi_trac;season;maxveg;preparation;levelling;stand_surface;age;fully_tarped;distance;multi_strips;strips_overlap;strips_fixation;staples_distance;fabric_fixation;tarpfix_multimethod;sedicover_height;trench;trench_depth;pierced_tarpinstall;plantation;repairs;add_control;add_control_type;degradation;pb_fixation;pb_durability;pb_trampiercing;pb_vandalism;regrowth_during;reg_staples;reg_stripoverlaps;reg_obstacles;reg_holes;reg_plantations;reg_pierced;reg_edges;reg_nearby;untarped_regrowth;tarping_abandoned;tarping_completed;tarping_ongoing;tarping_duration;latest_condition;latest_regrowth;latest_months;eff_expansion;eff_dispersal;eff_vigour;eff_eradication
29;france;45.568;5.378;317;2017;4;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;3;8;1;3;7;7;6;6;5;wasteland_wetland;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;spring;0;mowing;0;450;2;0;1;1;50;glu_and_staples;30;heavyobj_and_trench;1;0;1;50;NA;0;0;1;uprooting_and_mowing_and_crushingshoots;0;0;0;0;0;1;0;0;1;0;1;0;1;0;NA;0;0;1;3;good;edges;01/10/2020;NA;NA;8;0
30;france;48.273;0.459;83;2015;5;eradicate_and_limit_expansion;0;management_trial;1;3;2;2;8;1;5;5;2;0;roadside;mixed;0;1;0;0;0;0;1;250;NA;NA;NA;autumn;0;mowing;0;20;2;1;2;0;NA;NA;NA;trench;0;0;1;15;0;0;0;1;crushingshoots_and_uprooting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;none;0;1;0;5;bad;none;01/09/2020;10;10;10;1
31;france;45.703;5.449;216;2018;3;eradicate;0;management_trial;1;1;1;0;2;0;3;7;0;0;grassland;woven_geotex;0;0;1;NA;0;0;1;NA;NA;NA;NA;NA;0;none;0;75;3;1;2;1;60;staples;100;staples;0;0;0;0;3;0;1;1;crushingshoots;0;0;0;0;0;1;1;0;1;0;0;0;1;0;NA;0;0;1;2;good;edges;01/10/2020;8;8;8;0
32;france;45.804;4.892;172;2019;5;limit_expansion_and_vigour;0;management_trial;0;1;2;3;4;1;7;8;4;1;railway;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;winter;0;mowing;1;5000;2;1;2;1;30;glu;NA;heavyobj_and_staples;1;0;0;0;1;0;1;1;mowing;NA;NA;NA;NA;NA;1;1;1;1;1;0;0;0;1;NA;0;0;1;2;bad;edges;01/09/2020;6;7;8;0
33;france;46.674;4.363;284;2009;99;eradicate_and_limit_expansion;1;management_trial;0;2;2;5;5;5;5;5;6;8;riverside;woven_geotex;0;0;1;NA;0;0;1;140;NA;NA;NA;autumn;0;excavation;1;2000;3;1;1;1;100;staples;80;trench_and_plantations;1;0;1;40;1;2;0;1;crushingshoots_and_uprooting;0;0;0;0;0;1;1;0;0;0;1;0;0;0;NA;0;0;1;11;NA;tarpedarea;01/06/2019;9;9;9;0
34;france;46.112;4.228;358;2018;NA;eradicate_and_limit_expansion_and_limit_dispersal;0;management_trial;0;3;5;5;5;5;6;8;5;5;riverside;agri_geomem;0;1;0;0;0;0;0;500;4;NA;NA;summer;1;none;0;140;3;1;1.5;1;NA;NA;NA;trench;0;0;1;25;0;0;1;1;mowing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;3;good;edges;01/07/2020;8;5;8;0
35;france;44.817;6.195;1090;2013;5;eradicate_and_limit_expansion;1;management_trial;0;5;2;0;5;3;2;2;0;1;grassland;unknown_geomem;NA;NA;0;0;0;0;1;NA;NA;NA;NA;spring;0;mowing;0;50;2;1;0.5;1;NA;heavyobj;NA;heavyobj;0;0;0;0;0;1;1;1;uprooting;1;0;0;0;0;1;0;0;0;0;0;0;0;0;none;0;1;0;5;good;none;01/08/2018;10;10;10;1
36;france;43.326;0.800;221;2017;3;eradicate_and_limit_dispersal;0;management_trial;0;2;5;0;3;2;3;2;2;8;roadside_riverside;woven_geotex;0;0;1;NA;0;0;1;130;NA;NA;NA;summer;1;mowing;0;1000;3;1;2;1;30;wired_stakes;100;wired_stakes;0;0;0;0;0;0;1;1;uprooting;1;1;0;0;0;1;1;0;0;0;0;0;0;0;NA;0;1;0;3;good;tarpedarea;01/09/2020;10;8;9;0
37;france;50.341;1.567;8;2009;NA;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;8;2;5;1;1;4;0;2;1;sand_dune;woven_geotex;0;0;1;NA;0;0;1;220;0.5;NA;NA;NA;0;none;0;100;2;1;1.5;1;50;backfill;50;heavyobj_and_backfill;1;0;0;0;1;0;1;1;uprooting;1;1;0;1;1;1;0;1;1;1;0;0;1;0;NA;0;1;0;1.5;destroyed;tarpedarea_edges;01/10/2020;3;7;8;0
38;france;48.462;7.482;184;2011;3;limit_expansion;1;management_trial;0;3;8;2;0;7;9;5;7;8;riverside;mixed;0;0;1;1;0;0;1;NA;NA;NA;NA;autumn;0;uprooting;1;50;2;0;0;1;NA;geotex_and_staples;100;geotex_and_trench_and_sedicover_and_plantations;1;5;1;20;8;2;1;1;crushingshoots_and_uprooting;1;0;1;0;0;1;0;0;0;1;1;0;0;0;NA;0;1;0;3;bad;tarpedarea_edges;NA;NA;NA;NA;0
39;belgium;49.683;5.817;415;2017;5;eradicate_and_limit_expansion;0;management_trial;0;2;7;1;3;0;1;5;2;0;roadside_urban_park;liner_geomem;1;0;0;0;0;0;0;NA;NA;NA;NA;winter;0;excavation;0;50;2;1;2;0;NA;NA;NA;sedicover;0;30;0;0;0;0;0;1;uprooting_and_mowing;0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;3;NA;edges;01/09/2020;8;8;9;0
40;france;46.041;3.852;602;2008;3;eradicate;1;management_trial;0;4;3;1;5;5;3;8;0;0;roadside_riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;spring;0;uprooting;0;10;2;1;2;1;15;refold;NA;trench_and_sedicover_and_plantations;1;20;1;50;2;2;0;1;mowing;1;0;1;1;0;1;0;0;0;0;0;0;0;1;NA;0;1;0;12;bad;nearby;01/07/2020;5;8;8;0
41;france;48.297;-0.940;131;2018;NA;eradicate;1;management_trial;0;7;8;0;5;1;3;7;1;0;roadside;mulching_geotex;0;0;1;1;0;0;0;1400;10;NA;0.42;winter;0;excavation;1;60;2;1;NA;1;50;staples;NA;sedicover;0;30;0;0;0;1;0;1;uprooting;0;0;0;0;0;1;0;1;1;0;0;0;1;1;NA;0;0;1;2;good;tarpedarea;01/08/2020;8;9;10;0
42;france;45.747;6.420;419;2019;3;eradicate_and_limit_dispersal;0;management_trial;0;3;8;1;3;5;2;5;2;3;roadside_riverside;liner_geomem;1;0;0;0;0;0;0;1250;1;NA;30;summer;1;none;0;200;3;0;1;1;50;thermowelding;25;trench_and_sedicover;1;10;1;10;0;0;0;1;uprooting;0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;1;good;tarpedarea;01/09/2020;5;5;8;0
43;france;45.001;2.552;713;2018;3;eradicate;0;crushing_tarping_trial;0;7;4;1;5;1;8;5;7;0;roadside_grassland;agri_geomem;0;1;0;0;0;0;0;NA;0.6;NA;NA;summer;1;crushing;1;20;2;1;1.2;0;NA;NA;NA;trench;0;2;1;20;2;0;0;1;uprooting;1;0;0;0;1;1;0;0;0;0;0;0;1;0;NA;0;0;1;2;good;edges;01/09/2020;8;10;10;0
44;france;46.786;4.833;182;2018;10;vigour;0;research_trial;1;2;7;4;4;3;4;3;1;0;wasteland_railway;weed_geotex;0;0;0;0;0;1;0;245;0.65;555;18.5;spring;0;excavation;1;20;3;0;0;1;50;tape_and_staples_and_taped_overlapband;70;heavyobj_and_staples;1;0;0;0;0;0;0;0;none;0;0;0;0;0;1;1;0;0;0;0;0;1;0;NA;0;0;1;3;good;tarpedarea_edges;01/09/2020;NA;NA;NA;NA
45;france;45.525;5.742;269;2016;2;eradicate;0;management_trial;1;4;5;2;1;0;2;5;0;0;roadside_railway;weed_geotex;0;0;0;0;0;1;0;240;0.64;550;18;summer;1;mowing;0;20;1;1;1;1;50;staples;60;sedicover_and_staples;1;2;0;0;0;0;0;1;uprooting;0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;0;1;4;good;none;01/08/2020;8;10;8;1
46;france;46.562;4.912;177;2015;NA;eradicate_and_limit_expansion_and_limit_dispersal;1;management_trial;0;1;8;0;5;1;3;3;3;0;roadside;unknown_geomem;NA;NA;0;0;0;0;1;NA;NA;NA;NA;spring;0;uprooting;1;150;2;1;0.5;1;NA;NA;45;staples_and_trench_and_plantations;1;0;1;25;0;2;1;1;uprooting_and_mowing_and_crushingshoots;0;0;0;0;0;1;0;0;0;0;1;0;1;0;NA;0;0;1;6;good;edges;01/09/2020;7;9;10;0
47;belgium;50.260;4.025;154;2011;NA;eradicate_and_vigour;1;management_trial;0;1;8;0;2;0;3;5;2;0;roadside_wasteland;truck_tarp;0;0;0;0;0;0;1;640;0.64;NA;NA;winter;0;uprooting;1;100;2;0;0;1;50;overlap;100;staples_and_plantations;1;0;0;0;8;2;1;1;uprooting;0;0;0;0;0;1;0;1;0;1;1;0;1;0;NA;0;0;1;9;good;edges;01/10/2020;9;9;9;0
48;france;44.684;2.845;995;2013;NA;eradicate_and_limit_expansion;0;management_trial;0;3;1;0;7;4;2;3;1;0;roadside;unknown_geomem;NA;NA;0;0;0;0;1;NA;NA;NA;NA;spring;0;mowing;0;30;2;1;1;1;30;staples;50;heavyobj_and_sedicover;1;10;0;0;0;0;0;1;uprooting;0;0;0;0;0;1;0;1;0;1;0;0;1;0;NA;0;0;1;7;good;edges;01/09/2020;8;5;10;0
49;france;45.523;4.216;380;2014;2;eradicate_and_limit_dispersal;0;management_trial;1;1;4;0;5;1;3;3;1;6;riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;winter;0;mowing;1;40;2;1;1.8;0;NA;NA;200;staples_and_trench;1;0;1;65;0;0;1;0;none;0;0;0;0;0;1;0;0;0;0;0;0;1;0;none;0;1;0;5;good;none;01/08/2020;10;10;10;1
50;france;47.081;4.245;343;2012;10;eradicate_and_limit_expansion_and_limit_dispersal;1;management_trial;0;3;5;0;3;7;2;6;0;10;riverside;woven_geotex;0;0;1;NA;0;0;1;130;0.13;NA;2.5;autumn;0;excavation;1;400;2;1;1;1;10;refold_and_staples;70;staples_and_trench_and_plantations;1;0;1;30;1;2;1;1;uprooting;1;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;8;good;tarpedarea;01/05/2020;9;7;10;0
51;france;44.978;-1.076;18;2013;3;eradicate;1;management_trial;0;3;3;2;5;7;9;3;8;2;riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;winter;0;uprooting;0;20;2;1;1;1;NA;backfill;NA;trench_and_sedicover;1;8;1;15;2;1;1;1;uprooting_and_mowing_and_crushingshoots;1;0;1;0;0;1;0;0;1;1;0;0;0;1;NA;0;1;0;7;NA;none;01/10/2020;10;10;10;1
52;france;49.193;2.469;56;2020;2;limit_expansion_and_vigour;1;management_trial;0;3;6;1;0;2;1;3;0;0;riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;winter;0;mowing;0;6;1;0;0;0;NA;NA;100;staples_and_plantations;1;0;0;0;6;2;0;1;crushingshoots;1;1;0;0;1;1;0;0;0;0;1;0;0;0;NA;0;0;1;0.5;NA;NA;NA;NA;NA;NA;0
53;france;45.044;6.125;925;2015;5;limit_expansion_and_vigour;1;management_trial;0;3;9;6;8;4;7;5;4;1;riverside;liner_geomem;1;0;0;0;0;0;0;1250;1.02;NA;NA;autumn;0;none;0;30;3;0;1;1;5;glu;NA;heavyobj_and_trench;1;0;1;15;1;0;1;1;crushingshoots_and_uprooting;0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;0;0;1;5;good;edges_nearby;01/06/2020;4;7;8;0
54;france;45.041;5.978;1087;2016;5;eradicate;0;management_trial;0;3;8;5;2;2;2;3;0;0;grassland;liner_geomem;1;0;0;0;0;0;0;1250;1.02;NA;NA;summer;1;uprooting;0;150;2;0;1;1;NA;glu;NA;heavyobj_and_trench;1;0;1;15;0;0;1;1;uprooting;1;0;0;0;1;1;0;0;0;0;0;0;1;0;NA;1;0;0;4;stolen;edges_nearby;01/06/2020;7;7;8;0
55;france;48.971;4.337;82;2014;20;eradicate;1;crushing_tarping_trial;0;3;0;0;1;2;0;0;0;0;riverside;woven_geotex;0;0;1;NA;0;0;1;NA;NA;NA;NA;summer;1;uprooting;0;350;3;1;0;1;40;staples;30;sedicover;1;80;0;0;0;1;0;1;uprooting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;1;6;NA;nearby;01/10/2020;8;10;8;0
56;france;45.930;5.728;613;2017;3;eradicate_and_limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;6;4;0;4;4;1;2;1;0;roadside_riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;spring;0;uprooting;0;15;2;1;1;1;NA;staples;NA;staples;0;0;0;0;0;0;0;1;uprooting_and_salting;0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;0;1;0;4;NA;NA;NA;NA;NA;NA;0
57;france;48.113;-0.973;131;2016;NA;limit_expansion;0;management_trial;0;1;0;0;5;3;0;3;0;3;riverside;mulching_geotex;0;0;1;1;0;0;0;NA;NA;NA;NA;summer;1;none;0;4;1;1;0;0;NA;NA;50;staples;0;0;0;0;0;0;0;1;uprooting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;tarpedarea_edges;0;1;0;4.5;good;none;01/09/2020;10;10;10;1
58;france;44.434;3.202;551;2016;1.5;eradicate;0;crushing_tarping_trial;0;1;2;2;7;7;5;3;7;7;riverside;agri_geomem;0;1;0;0;0;0;0;NA;NA;NA;NA;spring;0;crushing;1;100;2;0;0;1;100;overlap;NA;trench_and_sedicover;1;13;1;200;0;0;0;1;uprooting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;1;0;5;NA;none;01/06/2020;10;10;10;1
59;france;48.661;6.174;249;2016;2;limit_expansion_and_vigour;1;research_trial;1;8;8;6;7;4;8;9;6;0;urban_park;agri_geomem;0;1;0;0;0;0;0;NA;0.22;NA;21;winter;0;mowing;0;300;3;0;1;1;100;heavyobj_and_staples;100;heavyobj;0;0;0;0;0;0;0;1;crushingshoots_and_uprooting;0;0;0;0;0;1;0;0;1;0;0;0;0;0;NA;0;1;0;5;good;tarpedarea_edges;01/08/2020;8;10;9;0
60;france;44.236;2.110;466;2011;99;limit_expansion_and_limit_dispersal_and_vigour;0;management_trial;0;2;8;3;5;3;4;5;2;8;roadside_riverside;agri_geomem;0;1;0;0;0;0;0;NA;0.15;NA;18;spring;0;none;0;55;2;1;0.5;1;100;overlap;NA;trench;0;0;1;20;0;0;1;1;uprooting;1;0;0;0;0;1;0;0;0;1;0;0;1;0;NA;0;0;1;10;bad;tarpedarea;01/05/2020;5;8;10;0
